price,title,province,location,lat,lng,characteristics,agency,updated,timestamp,id_1,id_2
34.800 €,Casa en venta en Calle Vulcano,almeria,Calle Vulcano. Terque,36.9839104,-2.5966881,"['Superficie construida : 142 m²', 'Superficie útil : 120 m²', 'Superficie solar : 72 m²', 'Habitaciones : 4', 'Baños : 1', 'Antigüedad : Entre 10 y 20 años', 'Conservación : En buen estado', 'Referencia : 4517311-000169', 'Amueblado : Lo que se ve en las fotografías se quedaría', 'Carpintería exterior : Madera', 'Tipo suelo : Gres', 'Calefacción : Eléctrica', 'Cocina equipada : Cocina ofis exterior, sin estrenar', 'Comedor : Salón comedor con cacina integrada', 'Lavadero : Lavadora instalada debajo de la escalera', 'Orientación : Sureste', 'Urbanizado', 'Calle alumbrada', 'Calle asfaltada', 'Clasificación:  En trámite', 'Pedir más información']",Inmuebles de FINCAS ALPUJARRA.COM,1674774540.0,1697656417910671,32536573122,517311
72.260 €,Finca rústica en venta en Alcolea,almeria,Alcolea,36.97379442,-2.961237441,"['Superficie construida : 70 m²', 'Superficie útil : 65 m²', 'Superficie solar : 1 m²', 'Habitaciones : 2', 'Baños : 1', 'Referencia : XA827-0542', 'Carpintería interior', 'Tipo suelo : Baldosa', 'Carpintería exterior', 'Agua', 'Cocina : 4', 'Puerta blindada', 'Piscina', 'Orientación : Este', 'Clasificación:  Exento', 'Pedir más información']",Inmuebles de DIAGONAL3,1672787340.0,1697656423650019,37538653052,108900
60.000 €,Piso en venta en Padules,almeria,Padules,36.998336895,-2.773637894,"['Superficie construida : 69 m²', 'Superficie útil : 60 m²', 'Habitaciones : 2', 'Baños : 1', 'Interior : No', 'Exterior', 'Conservación : En buen estado', 'Referencia : SA4606-57 A-Z 1', 'Aire acondicionado', 'Terraza', 'Orientación : Este', 'Clasificación:  En trámite', 'Pedir más información']",Inmuebles de HABITA ESTATE,1672700820.0,1697656432992342,34185447416,100500
75.000 €,Piso en venta en Calle Granada,almeria,Calle Granada. Laujar de Andarax,36.9942807,-2.8914792,"['Superficie construida : 98 m²', 'Superficie útil : 80 m²', 'Habitaciones : 2', 'Baños : 1', 'Planta : 2ª', 'Referencia : SA520-22978/1074', 'Amueblado', 'Armarios empotrados : 1', 'Agua', 'Teléfono', 'Chimenea', 'Comedor', 'Clasificación:  Disponible', 'Emisiones:  31 Kg CO2/m2 año  A B C D E F G']",Inmuebles de Brisahogar,1674947160.0,1697656437761877,17566986440,100500
100.000 €,Casa en venta en Calle de Macabe,almeria,Calle de Macabe. Paterna del Río,37.015000336,-2.956598145,"['Superficie construida : 246 m²', 'Superficie útil : 246 m²', 'Habitaciones : 7', 'Baños : 2', 'Conservación : En buen estado', 'Referencia : SA492-120629', 'Cocina', 'Garaje : 1', 'Trastero', 'Piscina : Propia', 'Orientación : Sur', 'Clasificación:  Disponible', 'Emisiones:   A B C D E F G', 'Pedir más información']",Inmuebles de Housell,1641250860.0,169765644318187,18370538227,100500
19.500 €,"Casa en venta en Calle de Carlos Mendoza, 14",almeria,"Calle de Carlos Mendoza, 14. Ohanes",37.03671,-2.74453,"['Superficie construida : 207 m²', 'Superficie útil : 159 m²', 'Habitaciones : 3', 'Baños : 3', 'Antigüedad : Más de 50 años', 'Referencia : SH1-60732594', 'Clasificación:  En trámite', 'Pedir más información']",Inmuebles de Servihabitat Servicios Inmobiliarios,1672527660.0,1697656447044323,25920878573,102500
150.000 €,"Chalet en venta en Calle Almirez, 5",almeria,"Calle Almirez, 5. Laujar de Andarax",36.994,-2.89907,"['Superficie construida : 217 m²', 'Superficie solar : 524 m²', 'Habitaciones : 4', 'Baños : 3', 'Referencia : SA520-24921/1074', 'Agua', 'Teléfono', 'Chimenea', 'Comedor', 'Trastero', 'Terraza', 'Orientación : Sur', 'Clasificación:  Disponible', 'Emisiones:  71 Kg CO2/m2 año  A B C D E F G']",Inmuebles de Brisahogar,1674601740.0,1697656452703905,33355138554,100500
50.000 €,"Casa en venta en Calle del Barrio Bajo, 17",almeria,"Calle del Barrio Bajo, 17. Laujar de Andarax",36.9936,-2.88643,"['Superficie construida : 239 m²', 'Habitaciones : 9', 'Baños : 2', 'Referencia : SA520-22995/1074', 'Agua', 'Chimenea', 'Comedor', 'Terraza', 'Clasificación:  Disponible', 'Emisiones:   A B C D E F G', 'Pedir más información']",Inmuebles de Brisahogar,1672873800.0,1697656457523441,29240326073,100500
42.000 €,"Piso en venta en Calle Alfarerías, nº SN",almeria,"Calle Alfarerías, nº SN. Alhama de Almería",36.959564,-2.573037,"['Superficie construida : 118 m²', 'Superficie útil : 84 m²', 'Habitaciones : 2', 'Baños : 2', 'Antigüedad : Entre 10 y 20 años', 'Referencia : SH1-60573269', 'Cocina', 'Ascensor : 2', 'Piscina : Comunitario', 'Clasificación:  Disponible', 'Emisiones:  28,11 Kg CO2/m2 año  A B C D E F G']",Inmuebles de Servihabitat Servicios Inmobiliarios,1674860940.0,1697656462473434,95915115014,102500
66.000 €,Piso en venta en Calle CL Garcia de los Salmones 3,almeria,Calle CL Garcia de los Salmones 3. Alhama de Almería,36.9602196,-2.5742569,"['Superficie construida : 105 m²', 'Superficie útil : 86 m²', 'Habitaciones : 3', 'Baños : 1', 'Referencia : AM9-2298##29000912', 'Clasificación:  Pendiente de completar', 'Consumo:   A B C D E F G', 'Pedir más información']",Inmuebles de ALTAMIRA,1674860640.0,1697656467248214,25079235658,103600
