price,title,province,location,lat,lng,characteristics,agency,updated,numeric_data
A consultar,Casa adosada en venta en Ferreira (Santa Maria) (Valadouro, O),Ferreira (Santa Maria) (Valadouro, O) (O Valadouro),43.548613604,-7.441159792,['Superficie construida : 208 m²', 'Superficie útil : 174 m²', 'Habitaciones : 4', 'Baños : 2', 'Tipo de casa : Adosada', 'Antigüedad : Menos de 5 años', 'Conservación : A estrenar', 'Referencia : 6233212', 'Tipo suelo : Tarima flotante', 'Garaje : 2', 'Piscina : Comunitaria', 'Orientación : Sur'],cecilio fernandez casabella,1390518120.0,{'timestamp': '1698568481642837', 'soft_url': 'casa_adosada_ferreira_santa_maria_valadouro_o_945856908042630_109800_'}
38.000 €,Finca rústica en venta en Foz,Foz (Casco Urbano) (Foz),43.624204289,-7.335662831,['Superficie construida : 1.052 m²', 'Superficie solar : 1.052 m²', 'Referencia : PA85-I000359-S001034', 'Clasificación:  Exento', 'Pedir más información'],Inmuebles de ROBERTO & IÑAKI,1673996880.0,{'timestamp': '1698568486528451', 'soft_url': 'finca_rustica_foz_casco_urbano_35022055218_106900_'}
160.000 €,Piso en venta en Avenida de Álvaro Cunqueiro, 32, cerca de Calle de Xuan Montes,Avenida de Álvaro Cunqueiro, 32, cerca de Calle de Xuan Montes. Foz (Casco Urbano) (Foz),43.567932,-7.2598605,['Superficie construida : 116 m²', 'Habitaciones : 4', 'Baños : 2', 'Planta : 2ª', 'Exterior', 'Antigüedad : Entre 10 y 20 años', 'Conservación : A estrenar', 'Referencia : 20068242', 'Amueblado', 'Calefacción : Gas natural', 'Lavadero', 'Garaje : 1', 'Trastero', 'Ascensor', 'Adaptado a personas con movilidad reducida', 'Balcón', 'Soleado', 'Clasificación:  En trámite', 'Pedir más información'],Chelo,1672787160.0,{'timestamp': '1698568492175359', 'soft_url': 'piso_foz_casco_urbano_35057620539_109800_'}
160.000 €,Piso en venta en Viveiro (Casco Urbano),Viveiro (Casco Urbano) (Viveiro),43.656287777,-7.599220235,['Superficie construida : 120 m²', 'Habitaciones : 4', 'Baños : 3', 'Referencia : SA3813-3230974', 'Trastero', 'Ascensor', 'Balcón', 'Terraza', 'Orientación : Sur', 'Clasificación:  Disponible', 'Emisiones:   A B C D E F G', 'Pedir más información'],Inmuebles de Topbrokers,1674342240.0,{'timestamp': '1698568497803073', 'soft_url': 'piso_viveiro_casco_urbano_33377455469_100500_'}
146.000 €,Chalet en venta en Calle Mañete Pq Vilaronte,Calle Mañete Pq Vilaronte. Foz (Casco Urbano) (Foz),43.5556484925226,-7.26250980035356,['Superficie construida : 227 m²', 'Referencia : AS1-CAN0000187596', 'Clasificación:  En trámite', 'Pedir más información'],Inmuebles de Aliseda Inmobiliaria,1674342600.0,{'timestamp': '1698568502273404', 'soft_url': 'chalet_foz_casco_urbano_38357360276_107000_'}
160.000 €,Casa rústica en venta en Calle Granda,Calle Granda. Reinante (San Miguel) (Barreiros),43.543148684,-7.194668205,['Superficie construida : 260 m²', 'Superficie útil : 240 m²', 'Superficie solar : 2.120 m²', 'Tipo de casa : Rústica', 'Conservación : A reformar', 'Referencia : 4516559-365', 'Jardín : Propio', 'Urbanizado', 'Calle alumbrada', 'Calle asfaltada', 'Clasificación:  Exento', 'Pedir más información'],Inmuebles de INMORIBA,1674688200.0,{'timestamp': '169856850754828', 'soft_url': 'casa_rustica_reinante_san_miguel_31733241191_516559_'}
90.000 €,Piso en venta en Avenida de Arcadio Pardiñas, 91,Avenida de Arcadio Pardiñas, 91. Burela,43.659516047,-7.361183528,['Superficie construida : 110 m²', 'Superficie útil : 105 m²', 'Habitaciones : 4', 'Baños : 2', 'Planta : 2ª', 'Antigüedad : Entre 20 y 30 años', 'Conservación : En buen estado', 'Gastos de comunidad : Entre 40 y 60 €', 'Referencia : 17410706', 'Amueblado', 'Armarios empotrados : 1', 'Tipo suelo : Parquet', 'Vidrios dobles', 'Carpintería exterior : Aluminio', 'Agua', 'Luz : Otra compañía', 'Gas : Otra compañía', 'Teléfono', 'Calefacción : Gas natural', 'Cocina equipada', 'Comedor', 'Garaje : 1', 'Portero automático', 'Puerta blindada', 'Ascensor', 'Orientación : Sureste', 'Soleado', 'Clasificación:  Disponible', 'Emisiones:  39 Kg CO2/m2 año  A B C D E F G'],Sole,1609887900.0,{'timestamp': '1698568513052899', 'soft_url': 'piso_burela_centro_urbano_945856909860210_109800_'}
83.000 €,Casa en venta en Calle Vilamar-S. Xusto Cabarcos, nº 35,Calle Vilamar-S. Xusto Cabarcos, nº 35. Barreiros (Casco Urbano) (Barreiros),43.4962,-7.27259,['Superficie construida : 373 m²', 'Superficie solar : 2.260 m²', 'Habitaciones : 4', 'Baños : 2', 'Referencia : SA2894-AOLAR00167/8085', 'Comedor', 'Garaje : 1', 'Orientación : Oeste', 'Clasificación:  Disponible', 'Emisiones:  63 Kg CO2/m2 año  A B C D E F G'],Inmuebles de AOLAR,1674429000.0,{'timestamp': '1698568518434099', 'soft_url': 'casa_barreiros_casco_urbano_15042480223_100500_'}
65.000 €,Piso en venta en Rúa do Río, 44,Rúa do Río, 44. A Pontenova (Casco Urbano) (A Pontenova),43.3531981,-7.19154849999995,['Superficie construida : 201 m²', 'Superficie útil : 201 m²', 'Habitaciones : 4', 'Baños : 4', 'Planta : Sótano', 'Antigüedad : Entre 5 y 10 años', 'Conservación : A estrenar', 'Referencia : 2801913', 'Tipo suelo : Parquet', 'Calefacción : Central', 'Clasificación:  Disponible', 'Emisiones:  133 Kg CO2/m2 año  A B C D E F G'],Fabian,1673910420.0,{'timestamp': '1698568523480507', 'soft_url': 'piso_a_pontenova_casco_urbano_945856906886143_109800_'}
A consultar,Piso en venta en Avenida del Generalísimo, 52, cerca de Avenida de Goios,Avenida del Generalísimo, 52, cerca de Avenida de Goios. A Pontenova (Casco Urbano) (A Pontenova),43.3498518,-7.1916428,['Superficie útil : 7 m²', 'Habitaciones : 1', 'Baños : 1', 'Planta : Bajo', 'Antigüedad : Entre 20 y 30 años', 'Conservación : En buen estado', 'Referencia : 19283100', 'Clasificación:  Exento', 'Pedir más información'],Fabian,1673910420.0,{'timestamp': '1698568528648775', 'soft_url': 'piso_a_pontenova_casco_urbano_945856909979211_109800_'}
150.000 €,Dúplex en venta en Calle de Salvador de Madariaga,Calle de Salvador de Madariaga. Foz (Casco Urbano) (Foz),43.5694981247931,-7.25721070266354,['Superficie construida : 150 m²', 'Superficie útil : 130 m²', 'Habitaciones : 4', 'Baños : 2', 'Planta : 4ª', 'Exterior', 'Conservación : En buen estado', 'Referencia : 4516559-437', 'Amueblado', 'Vidrios dobles', 'Teléfono', 'Calefacción : Gas natural', 'Cocina equipada', 'Trastero', 'Portero automático', 'Ascensor', 'Adaptado a personas con movilidad reducida', 'Terraza', 'Soleado', 'Clasificación:  En trámite', 'Pedir más información'],Inmuebles de INMORIBA,1674688200.0,{'timestamp': '1698568534543447', 'soft_url': 'duplex_foz_casco_urbano_21713738210_516559_'}
220.000 €,Casa en venta en Viveiro,Viveiro (Casco Urbano) (Viveiro),43.66780676,-7.590294565,['Superficie construida : 175 m²', 'Superficie solar : 1.000 m²', 'Habitaciones : 4', 'Baños : 2', 'Conservación : En buen estado', 'Referencia : IF7091-V0384', 'Amueblado', 'Calefacción : Eléctrica', 'Cocina', 'Trastero', 'Terraza', 'Orientación : Al mar', 'Clasificación:  En trámite', 'Pedir más información'],Inmuebles de INMOBILIARIA VIVEIRO,1673651280.0,{'timestamp': '1698568540300698', 'soft_url': 'casa_viveiro_casco_urbano_36739552189_101800_'}
