price,title,province,location,lat,lng,characteristics,agency,updated,numeric_data
200.000 €,Piso en venta en Castilla Hermida,Castilla Hermida (Santander),43.4564253,-3.8156443,['Superficie construida : 129 m²', 'Superficie útil : 115 m²', 'Habitaciones : 6', 'Baños : 2', 'Referencia : SA3813-1406023', 'Ascensor', 'Orientación : Sur', 'Clasificación:  Disponible', 'Emisiones:   A B C D E F G', 'Pedir más información'],Inmuebles de Topbrokers,1674255780.0,{'timestamp': '1699393527180309', 'soft_url': 'piso_castilla_hermida39009_22500887824_100500_'}
145.000 €,Piso en venta en Calle de la Rederas, 5,Calle de la Rederas, 5. Castilla Hermida (Santander),43.4533,-3.82266,['Superficie construida : 72 m²', 'Superficie útil : 67 m²', 'Habitaciones : 3', 'Baños : 1', 'Planta : 5ª', 'Gastos de comunidad : Entre 40 y 60€', 'Referencia : SA3181-SV1019/4111', 'Amueblado', 'Tipo suelo : Tarima maciza', 'Ascensor', 'Orientación : Oeste', 'Clasificación:  Disponible', 'Emisiones:   A B C D E F G', 'Pedir más información'],Inmuebles de INMOBILIARIA BARRIO,1673046660.0,{'timestamp': '1699393529282643', 'soft_url': 'piso_castilla_hermida39009_25918889062_100500_'}
175.000 €,Piso en venta en Calle de Castilla,Calle de Castilla. Castilla Hermida (Santander),43.454743,-3.8195641,['Superficie construida : 72 m²', 'Habitaciones : 3', 'Baños : 1', 'Interior : No', 'Exterior', 'Conservación : En buen estado', 'Referencia : SA4206-C-2395', 'Ascensor', 'Orientación : Este', 'Clasificación:  Disponible', 'Emisiones:  43 Kg CO2/m2 año  A B C D E F G'],Inmuebles de compracasa-online,1675033800.0,{'timestamp': '1699393531140294', 'soft_url': 'piso_castilla_hermida39009_35907163920_100500_'}
117.500 €,Piso en venta en Castilla Hermida,Castilla Hermida (Santander),43.4554781,-3.8142802,['Superficie construida : 78 m²', 'Habitaciones : 3', 'Baños : 1', 'Planta : 1ª', 'Conservación : En buen estado', 'Referencia : TC1049-560673', 'Cocina', 'Ascensor', 'Clasificación:  Disponible', 'Emisiones:  35 Kg CO2/m2 año  A B C D E F G'],Inmuebles de Estudio Castilla-Hermida Sl,1673997000.0,{'timestamp': '1699393533824698', 'soft_url': 'piso_castilla_hermida39009_38421705079_100200_'}
155.000 €,Piso en venta en Calle de Ruiz de Alda, 5,Calle de Ruiz de Alda, 5. Castilla Hermida (Santander),43.456237,-3.815407,['Superficie construida : 94 m²', 'Superficie útil : 85 m²', 'Habitaciones : 3', 'Baños : 1', 'Planta : 7ª', 'Exterior : Semiexterior', 'Antigüedad : Más de 50 años', 'Conservación : A reformar', 'Gastos de comunidad : 80', 'Referencia : IN353-AV0036', 'Armarios empotrados : 1', 'Agua : Individual_gas', 'Calefacción : Individual_gas', 'Ascensor', 'Orientación : Este|oeste', 'Clasificación:  Pendiente de completar', 'Consumo:   A B C D E F G', 'Emisiones:   A B C D E F G', 'Pedir más información'],Inmuebles de P.VIDAL DE LA PEÑA INMOBILIARIA,1673046660.0,{'timestamp': '1699393535952771', 'soft_url': 'piso_castilla_hermida39009_35918781682_102200_'}
127.500 €,Piso en venta en Calle de Castilla, cerca de Calle de la Rederas,Calle de Castilla, cerca de Calle de la Rederas. Castilla Hermida (Santander),43.4538454,-3.8235022,['Superficie construida : 100 m²', 'Superficie útil : 94 m²', 'Habitaciones : 3', 'Baños : 1', 'Planta : 6ª', 'Exterior', 'Antigüedad : Entre 30 y 50 años', 'Conservación : A reformar', 'Referencia : 4992042-98097885', 'Armarios empotrados : 2', 'Tipo suelo : Parquet', 'Vidrios dobles', 'Carpintería exterior : PVC', 'Calefacción : Gas natural', 'Cocina equipada', 'Portero automático', 'Ascensor', 'Orientación : Norte', 'Clasificación:  En trámite', 'Pedir más información'],Inmuebles de INDER G. INMOBILIARIA,1673478360.0,{'timestamp': '1699393538692854', 'soft_url': 'piso_castilla_hermida_28418288141_992042_'}
249.000 €,Piso en venta en Calle de Castilla, 19, cerca de Calle de Carlos III,Calle de Castilla, 19, cerca de Calle de Carlos III. Castilla Hermida (Santander),43.4577,-3.81144,['Superficie construida : 87 m²', 'Superficie útil : 71 m²', 'Habitaciones : 2', 'Baños : 1', 'Planta : 6ª', 'Gastos de comunidad : Entre 40 y 60€', 'Referencia : SA3181-SV1204/4111', 'Tipo suelo : Tarima maciza', 'Calefacción : Gas natural', 'Comedor', 'Garaje : 1', 'Ascensor', 'Orientación : Suroeste', 'Clasificación:  Disponible', 'Emisiones:  27 Kg CO2/m2 año  A B C D E F G'],Inmuebles de INMOBILIARIA BARRIO,1673046660.0,{'timestamp': '1699393540564338', 'soft_url': 'piso_castilla_hermida39009_36678910757_100500_'}
169.900 €,Piso en venta en Castilla Hermida,Castilla Hermida (Santander),43.4543102,-3.8199693,['Superficie construida : 77 m²', 'Habitaciones : 3', 'Baños : 1', 'Planta : 3ª', 'Conservación : Reformado', 'Referencia : TC1049-558909', 'Amueblado', 'Tipo suelo : Parquet', 'Cocina', 'Ascensor', 'Terraza', 'Clasificación:  Disponible', 'Emisiones:  40 Kg CO2/m2 año  A B C D E F G'],Inmuebles de Estudio Castilla-Hermida Sl,1674342540.0,{'timestamp': '1699393542659144', 'soft_url': 'piso_castilla_hermida39009_37536048319_100200_'}
300.000 €,Piso en venta en Calle de Castilla, cerca de Calle de Atilano Rodríguez,Calle de Castilla, cerca de Calle de Atilano Rodríguez. Castilla Hermida (Santander),43.4584766,-3.8093391,['Superficie construida : 150 m²', 'Superficie útil : 140 m²', 'Habitaciones : 5', 'Baños : 2', 'Planta : 1ª', 'Interior', 'Exterior', 'Antigüedad : Más de 50 años', 'Conservación : A reformar', 'Gastos de comunidad : Entre 60 y 80€', 'Referencia : 4990476-6902/3009', 'Amueblado', 'Tipo suelo : Parquet', 'Carpintería exterior : PVC', 'Gas', 'Teléfono', 'Calefacción : Gas natural', 'Cocina equipada', 'Comedor', 'Trastero', 'Portero automático', 'Ascensor', 'Terraza', 'Orientación : Oeste', 'Soleado', 'Clasificación:  En trámite', 'Pedir más información'],Inmuebles de ALFA INMOBILIARIA - ALFA PLAYAS,1672960260.0,{'timestamp': '1699393545183545', 'soft_url': 'piso_castilla_hermida_13344574076_990476_'}
120.000 €,Piso en venta en Calle del Marqués de la Hermida,Calle del Marqués de la Hermida. Castilla Hermida (Santander),43.4532745,-3.8217027,['Superficie construida : 102 m²', 'Superficie útil : 92 m²', 'Habitaciones : 3', 'Baños : 1', 'Planta : 2ª', 'Interior : El piso da a 3 patios de manzana', 'Antigüedad : Entre 30 y 50 años', 'Conservación : A reformar', 'Gastos de comunidad : Entre 40 y 60€', 'Referencia : 4993981-162', 'Calefacción : Gas natural', 'Cocina equipada : Amueblada', 'Portero automático', 'Ascensor : Dos', 'Adaptado a personas con movilidad reducida : Rampa en el portal', 'Orientación : Sur', 'Clasificación:  En trámite', 'Pedir más información'],Inmuebles de INMOBILIARIA LAS DUNAS,1673219400.0,{'timestamp': '1699393547172574', 'soft_url': 'piso_castilla_hermida_34261965803_993981_'}
645.000 €,Piso en venta en Calle de Antonio López,Calle de Antonio López. Castilla Hermida (Santander),43.4578101,-3.8094591,['Superficie construida : 140 m²', 'Superficie útil : 124 m²', 'Habitaciones : 2', 'Baños : 2', 'Planta : 1ª', 'Referencia : 167865533055-698823/3055', 'Amueblado', 'Calefacción : Gas natural', 'Comedor', 'Trastero', 'Puerta blindada', 'Ascensor', 'Terraza', 'Orientación : Sur', 'Clasificación:  No indicado', 'Pedir más información'],Inmuebles de BEST HOUSE SAN FERNANDO,1673910600.0,{'timestamp': '1699393549447221', 'soft_url': 'piso_castilla_hermida39009_26718111578_100500_'}
269.000 €,Piso en venta en Calle de Atilano Rodríguez, 7,Calle de Atilano Rodríguez, 7. Castilla Hermida (Santander),43.4584,-3.81016,['Superficie construida : 88 m²', 'Superficie útil : 76 m²', 'Habitaciones : 2', 'Baños : 1', 'Planta : 7ª', 'Referencia : SA1135-DAV712/5695', 'Tipo suelo : Parquet', 'Agua', 'Calefacción : Gas natural', 'Ascensor', 'Orientación : Oeste', 'Clasificación:  Disponible', 'Emisiones:   A B C D E F G', 'Pedir más información'],Inmuebles de BAHIA HOME, S.L.,1672960260.0,{'timestamp': '169939355208297', 'soft_url': 'piso_castilla_hermida39002_39193760173_100500_'}
134.000 €,Piso en venta en Castilla - Hermida,Castilla Hermida (Santander),43.4583094,-3.8093539,['Superficie construida : 100 m²', 'Superficie útil : 94 m²', 'Habitaciones : 3', 'Baños : 1', 'Planta : Bajo', 'Referencia : SA541-01112/1238', 'Armarios empotrados : 1', 'Agua', 'Calefacción : Gas natural', 'Clasificación:  No indicado', 'Pedir más información'],Inmuebles de INMOBANS,1674774600.0,{'timestamp': '1699393553816876', 'soft_url': 'piso_castilla_hermida39002_30011921952_100500_'}
159.500 €,Piso en venta en Castilla Hermida,Castilla Hermida (Santander),43.4552655,-3.8175024,['Superficie construida : 76 m²', 'Habitaciones : 4', 'Baños : 1', 'Planta : 6ª', 'Conservación : En buen estado', 'Referencia : TC1049-556604', 'Ascensor', 'Clasificación:  Disponible', 'Emisiones:  18 Kg CO2/m2 año  A B C D E F G'],Inmuebles de Estudio Castilla-Hermida Sl,1674947340.0,{'timestamp': '1699393555999774', 'soft_url': 'piso_castilla_hermida39009_37596136307_100200_'}
150.000 €,Piso en venta en Calle de Carlos Haya,Calle de Carlos Haya. Castilla Hermida (Santander),43.4549914,-3.8175103,['Superficie construida : 100 m²', 'Superficie útil : 96 m²', 'Habitaciones : 3', 'Baños : 1', 'Planta : 1ª', 'Conservación : Reformado', 'Referencia : IN353-419', 'Armarios empotrados : 1', 'Ascensor', 'Orientación : Norte|sur', 'Clasificación:  Pendiente de completar', 'Consumo:  7  Kwh/m2 año', 'Pedir más información'],Inmuebles de P.VIDAL DE LA PEÑA INMOBILIARIA,1673046660.0,{'timestamp': '1699393557954664', 'soft_url': 'piso_castilla_hermida39009_35909344823_102200_'}
