price,title,location,lat,lng,Referencia,Clasificación,Baños,Conservación,Superficie construida,Habitaciones
300000.0,Apartamento en venta en Cuzco - Castillejos,"Castillejos, Tetuán (Madrid Capital)",40.4620436,-3.6948089, NI548-VD802,  En trámite, 1, Reformado, 44 m², 1
270000.0,Apartamento en venta en Castillejos,"Castillejos, Tetuán (Madrid Capital)",40.4607576,-3.6907011, GM4-123172,  En trámite, 1, A estrenar, 60 m², 1
1390000.0,"Apartamento en venta en Lujoso Piso de 250M2, 4Hab,3Baños, Zona Pso. Castellana","Castillejos, Tetuán (Madrid Capital)",40.4632347,-3.6901313, FE101-272311,  En trámite, 3,, 240 m², 4
950000.0,Apartamento en venta en Castillejos,"Castillejos, Tetuán (Madrid Capital)",40.4587656,-3.690897, DA3-MAD35291,  En trámite, 3,, 127 m², 3
1150000.0,Apartamento en venta en Castillejos,"Castillejos, Tetuán (Madrid Capital)",40.458170096,-3.690571993, DA3-MAD42296,  En trámite, 3,, 230 m², 4
1449000.0,Apartamento en venta en Castillejos,"Castillejos, Tetuán (Madrid Capital)",40.4574168,-3.6907946, DA3-MAD39374,  En trámite, 3,, 201 m², 3
597000.0,"Apartamento en venta en Paseo de la Castellana, cerca de Calle del Pintor Juan Gris","Paseo de la Castellana, cerca de Calle del Pintor Juan Gris. Castillejos, Tetuán (Madrid Capital)",40.4573152,-3.6907226, SA208-9817PV-AM,  Disponible, 2, En buen estado, 119 m², 3
176000.0,Apartamento en venta en Centro-Arroyo-La Fuente,Centro-Arroyo-La Fuente (Fuenlabrada),40.2783187,-3.7899014, 4515002-EADC-616-F,  Pendiente de completar, 1, Reformado, 75 m², 3
265125.0,Apartamento en venta en Casco Historico,"Casco Histórico, Centro (Alcalá de Henares)",40.481961,-3.364617, SA814-EX03832/3763,  Disponible, 1,, 59 m², 3
158000.0,Apartamento en venta en Plaza del Egido de la Fuente,Plaza del Egido de la Fuente. Centro-Egido (Pinto),40.244204581,-3.699815235, INB55-8051-A0-02875-0001,  En trámite, 1, En buen estado, 79 m², 2
255000.0,Apartamento en venta en Calle de la Ruda,"Calle de la Ruda. Embajadores-Lavapiés, Centro (Madrid Capital)",40.41046,-3.70792, XA785-435801,  Disponible, 1, A estrenar, 47 m², 1
259000.0,"Apartamento en venta en Plaza del General Vara del Rey, 12","Plaza del General Vara del Rey, 12. Embajadores-Lavapiés, Centro (Madrid Capital)",40.409603,-3.7080839, 20299335,  Disponible, 1, En buen estado, 40 m², 1
159000.0,Apartamento en venta en Calle de los Cabestreros,"Calle de los Cabestreros. Embajadores-Lavapiés, Centro (Madrid Capital)",40.4090056,-3.7050419, SA323-FHOG-1865,  Disponible, 1, A reformar, 44 m², 1
970000.0,Apartamento en venta en Embajadores-Lavapiés,"Embajadores-Lavapiés, Centro (Madrid Capital)",40.4091506,-3.7026053, DA3-MAD43411,  En trámite, 2,, 200 m², 4
