price,lat,lng,updated,type,paseo,carretera,bulevar,autovia,calle,parque,plaza,avenida,publisher,age,garage,lift,surface,net_surface,garden,rooms,condition,bathrooms
255000.0,40.41046,-3.70792,1674688140.0,Apartamento,1,1,1,1,1,1,1,1,inmobiliaria,,no,yes,47.0,,no,1.0, A estrenar,1.0
259000.0,40.409603,-3.7080839,1674169680.0,Apartamento,0,0,0,0,0,0,0,0,particular,10.0,yes,yes,40.0,32.0,no,1.0, En buen estado,1.0
159000.0,40.4090056,-3.7050419,1673305320.0,Apartamento,1,1,1,1,1,1,1,1,inmobiliaria,,no,yes,44.0,,no,1.0, A reformar,1.0
970000.0,40.4091506,-3.7026053,1672787400.0,Apartamento,0,0,0,0,0,0,0,0,inmobiliaria,,no,yes,200.0,,no,4.0,,2.0
110000.0,40.5919548,-4.1480349,1674169740.0,Apartamento,0,0,0,0,0,0,0,0,inmobiliaria,,no,no,50.0,,no,2.0, En buen estado,1.0
235000.0,40.4098353,-3.7127895,1672873800.0,Apartamento,1,1,1,1,1,1,1,1,inmobiliaria,,no,no,37.0,,no,1.0, Reformado,1.0
360000.0,40.4165963,-3.7074767,1674860880.0,Apartamento,0,0,0,0,0,0,0,0,inmobiliaria,50.0,no,yes,52.0,37.0,no,1.0, Reformado,1.0
349999.0,40.4210917,-3.7098445,1672614600.0,Apartamento,1,1,1,1,1,1,1,1,inmobiliaria,,yes,yes,50.0,28.0,no,1.0,,1.0
147260.0,40.2856063972758,-3.80293690694442,1672787400.0,Apartamento,0,0,0,0,0,0,0,0,inmobiliaria,30.0,no,no,55.0,55.0,no,1.0, A estrenar,1.0
580000.0,40.4381108,-3.687628,1672787400.0,Apartamento,1,1,1,1,1,1,1,1,inmobiliaria,,no,yes,62.0,,no,1.0, En buen estado,1.0
425000.0,40.4492791,-3.6884136,1674169620.0,Apartamento,2,2,2,2,2,2,2,2,inmobiliaria,,no,yes,52.0,,no,1.0, A estrenar,1.0
450000.0,40.4484327,-3.6883086,1672787400.0,Apartamento,0,0,0,0,0,0,0,0,inmobiliaria,,no,yes,60.0,,no,1.0, En buen estado,1.0
820000.0,40.4536938,-3.6717612,1672614600.0,Apartamento,2,2,2,2,2,2,2,2,inmobiliaria,,yes,yes,170.0,,yes,5.0,,3.0
900000.0,40.4524434,-3.6796704,1673478540.0,Apartamento,1,1,1,1,1,1,1,1,inmobiliaria,50.0,no,yes,191.0,,no,5.0,,3.0
625000.0,40.4582,-3.68668,1673392140.0,Apartamento,1,1,1,1,1,1,1,1,inmobiliaria,,yes,yes,85.0,75.0,no,1.0, En buen estado,1.0
650000.0,40.4584,-3.68661,1674514920.0,Apartamento,1,1,1,1,1,1,1,1,inmobiliaria,50.0,no,yes,76.0,,no,1.0,,1.0
650000.0,40.4584,-3.68661,1674514920.0,Apartamento,1,1,1,1,1,1,1,1,inmobiliaria,,no,yes,74.0,,no,1.0,,1.0
600000.0,40.4585,-3.68595,1674514920.0,Apartamento,0,0,0,0,0,0,0,0,inmobiliaria,,yes,yes,74.0,,no,1.0,,1.0
650000.0,40.4585,-3.68595,1674514920.0,Apartamento,0,0,0,0,0,0,0,0,inmobiliaria,50.0,no,yes,76.0,,no,1.0,,1.0
599999.0,40.4585,-3.68595,1674514920.0,Apartamento,0,0,0,0,0,0,0,0,inmobiliaria,,no,yes,80.0,74.0,no,2.0,,1.0
235000.0,40.4399,-3.67377,1672960200.0,Apartamento,2,2,2,2,2,2,2,2,inmobiliaria,,no,no,45.0,41.0,no,1.0,,1.0
420000.0,40.44455,-3.66745,1672787400.0,Apartamento,1,1,1,1,1,1,1,1,inmobiliaria,50.0,no,yes,75.0,,no,2.0,,1.0
275000.0,40.4506724,-3.6808759,1672873800.0,Apartamento,0,0,0,0,0,0,0,0,inmobiliaria,,no,no,38.0,,no,1.0, A estrenar,1.0
1745000.0,40.431253,-3.6936932,1674256140.0,Apartamento,0,0,0,0,0,0,0,0,inmobiliaria,,yes,yes,155.0,155.0,no,3.0,,4.0
2600000.0,40.4360277,-3.6988865,1674169740.0,Apartamento,0,0,0,0,0,0,0,0,inmobiliaria,,no,yes,214.0,199.0,no,4.0, A estrenar,4.0
4300000.0,40.4326821,-3.6944279,1672787400.0,Apartamento,0,0,0,0,0,0,0,0,inmobiliaria,,no,yes,378.0,,no,4.0,,4.0
2700000.0,40.4309551,-3.6952529,1672787400.0,Apartamento,0,0,0,0,0,0,0,0,inmobiliaria,,no,yes,280.0,,no,4.0,,4.0
325000.0,40.4342109,-3.7111728,1674428700.0,Apartamento,2,2,2,2,2,2,2,2,inmobiliaria,,no,yes,26.0,26.0,no,1.0, En buen estado,1.0
223000.0,40.4343667,-3.7106961,1672787400.0,Apartamento,0,0,0,0,0,0,0,0,inmobiliaria,,no,yes,50.0,,no,1.0, En buen estado,1.0
170000.0,40.4371453,-3.6441027,1674687900.0,Apartamento,2,2,2,2,2,2,2,2,inmobiliaria,20.0,yes,no,56.0,50.0,no,1.0, Reformado,1.0
815000.0,40.446346981,-3.704010475,1672787400.0,Apartamento,0,0,0,0,0,0,0,0,inmobiliaria,,no,yes,93.0,,no,2.0,,2.0
258700.0,40.4423965,-3.7357795,1672787400.0,Apartamento,0,0,0,0,0,0,0,0,inmobiliaria,,no,no,34.0,,no,, A reformar,1.0
374700.0,40.4433123,-3.7378086,1673046600.0,Apartamento,0,0,0,0,0,0,0,0,inmobiliaria,,no,no,55.0,,no,1.0, A reformar,1.0
343700.0,40.4508299,-3.7378962,1672787400.0,Apartamento,0,0,0,0,0,0,0,0,inmobiliaria,,no,no,52.0,,no,1.0, A reformar,1.0
301700.0,40.45123,-3.737684,1673046600.0,Apartamento,0,0,0,0,0,0,0,0,inmobiliaria,,no,no,40.0,,no,1.0, A reformar,1.0
353700.0,40.4431193,-3.730066,1672873800.0,Apartamento,0,0,0,0,0,0,0,0,inmobiliaria,,no,no,52.0,,no,1.0, A reformar,1.0
447700.0,40.457799162,-3.713064523,1672701000.0,Apartamento,0,0,0,0,0,0,0,0,inmobiliaria,,no,no,65.0,,no,2.0, A reformar,2.0
458700.0,40.4550244,-3.7161411,1672873800.0,Apartamento,0,0,0,0,0,0,0,0,inmobiliaria,,no,no,70.0,,no,2.0, A reformar,2.0
630000.0,40.5523315,-3.9050721,1672787400.0,Apartamento,0,0,0,0,0,0,0,0,inmobiliaria,,no,no,344.0,,no,4.0,,3.0
170000.0,40.641585,-4.0085366,1672701000.0,Apartamento,0,0,0,0,0,0,0,0,inmobiliaria,10.0,yes,yes,55.0,50.0,yes,1.0, En buen estado,1.0
265000.0,40.434141,-3.657331,1672960140.0,Apartamento,0,0,0,0,0,0,0,0,inmobiliaria,50.0,no,yes,84.0,,no,3.0,,2.0
275000.0,40.4359084,-3.656234,1672960140.0,Apartamento,1,1,1,1,1,1,1,1,inmobiliaria,30.0,no,yes,78.0,,no,2.0,,1.0
661545.0,40.4434962,-3.6391913,1672787400.0,Apartamento,0,0,0,0,0,0,0,0,inmobiliaria,,yes,yes,157.0,,no,3.0,,2.0
1550000.0,40.4142599,-3.7022646,1674515280.0,Apartamento,0,0,0,0,0,0,0,0,inmobiliaria,,yes,yes,215.0,,no,2.0, En buen estado,2.0
229000.0,40.4124139,-3.6963118,1673910480.0,Apartamento,1,1,1,1,1,1,1,1,inmobiliaria,,no,yes,26.0,26.0,no,1.0, En buen estado,1.0
315000.0,40.4170599,-3.6998181,1672960200.0,Apartamento,0,0,0,0,0,0,0,0,inmobiliaria,,yes,yes,97.0,92.0,no,2.0,,2.0
229000.0,40.412440514013,-3.69687282134843,1673910480.0,Apartamento,1,1,1,1,1,1,1,1,inmobiliaria,50.0,no,yes,28.0,26.0,no,1.0, A estrenar,1.0
240000.0,40.4170599,-3.6998181,1672960200.0,Apartamento,0,0,0,0,0,0,0,0,inmobiliaria,,yes,yes,69.0,65.0,no,2.0,,1.0
310000.0,40.4115063,-3.6968507,1674688140.0,Apartamento,0,0,0,0,0,0,0,0,inmobiliaria,,no,no,50.0,40.0,no,1.0,,1.0
235000.0,40.412434,-3.69686,1673564940.0,Apartamento,1,1,1,1,1,1,1,1,inmobiliaria,,no,yes,30.0,28.0,no,1.0, En buen estado,1.0
650000.0,40.4144102,-3.6985717,1672787400.0,Apartamento,0,0,0,0,0,0,0,0,inmobiliaria,,no,yes,141.0,,no,6.0,,1.0
1300000.0,40.4096406,-3.6928847,1672787400.0,Apartamento,0,0,0,0,0,0,0,0,inmobiliaria,,no,no,146.0,,no,3.0,,4.0
829000.0,40.4133864,-3.6981386,1672787400.0,Apartamento,0,0,0,0,0,0,0,0,inmobiliaria,,no,no,102.0,,no,3.0,,3.0
219000.0,40.3684737493488,-3.76541427752675,1673824140.0,Apartamento,0,0,0,0,0,0,0,0,inmobiliaria,5.0,yes,yes,53.0,45.0,yes,1.0, En buen estado,1.0
193000.0,40.3728,-3.76655,1672787400.0,Apartamento,1,1,1,1,1,1,1,1,inmobiliaria,,no,yes,56.0,41.0,no,1.0,,1.0
295000.0,40.519577642,-3.928260908,1673824140.0,Apartamento,0,0,0,0,0,0,0,0,inmobiliaria,20.0,yes,yes,50.0,50.0,no,1.0, En buen estado,1.0
150000.0,40.2417184,-3.7743673,1672960200.0,Apartamento,0,0,0,0,0,0,0,0,inmobiliaria,,no,yes,74.0,74.0,no,3.0,,
1050000.0,40.5225088,-3.6407604,1673392140.0,Apartamento,0,0,0,0,0,0,0,0,inmobiliaria,,no,yes,202.0,154.0,no,4.0,,3.0
178000.0,40.36203,-3.5951385,1673478420.0,Apartamento,2,2,2,2,2,2,2,2,particular,10.0,yes,yes,60.0,,no,1.0, En buen estado,1.0
175000.0,40.3610287,-3.5951774,1672960200.0,Apartamento,0,0,0,0,0,0,0,0,inmobiliaria,,yes,yes,57.0,48.0,no,1.0, En buen estado,1.0
270000.0,40.5106831,-3.6720078,1673219340.0,Apartamento,1,1,1,1,1,1,1,1,inmobiliaria,,yes,yes,51.0,,no,1.0, En buen estado,1.0
630000.0,40.4799482,-3.7418208,1674947160.0,Apartamento,0,0,0,0,0,0,0,0,inmobiliaria,,yes,yes,154.0,140.0,no,3.0,,3.0
330000.0,40.4259693,-3.6667779,1641769860.0,Apartamento,0,0,0,0,0,0,0,0,inmobiliaria,50.0,yes,yes,49.0,,no,2.0,,1.0
269000.0,40.4227491,-3.6663647,1672614600.0,Apartamento,0,0,0,0,0,0,0,0,inmobiliaria,,no,no,79.0,70.0,no,,,1.0
229000.0,40.4319184,-3.7127768,1674688140.0,Apartamento,0,0,0,0,0,0,0,0,inmobiliaria,,no,no,40.0,37.0,no,1.0,,1.0
229000.0,40.4322083,-3.712748,1672787400.0,Apartamento,0,0,0,0,0,0,0,0,inmobiliaria,,no,no,37.0,,no,1.0, En buen estado,1.0
700000.0,40.4365792,-3.7054145,1672787400.0,Apartamento,0,0,0,0,0,0,0,0,inmobiliaria,,no,yes,87.0,,no,3.0,,2.0
787000.0,40.460898,-3.8750795,1672873800.0,Apartamento,0,0,0,0,0,0,0,0,inmobiliaria,,no,no,140.0,,no,4.0,,2.0
340000.0,40.4470602,-3.8759654,1672873800.0,Apartamento,0,0,0,0,0,0,0,0,inmobiliaria,,yes,yes,68.0,,no,2.0, En buen estado,1.0
1250000.0,40.4241558,-3.6789571,1674515280.0,Apartamento,1,1,1,1,1,1,1,1,inmobiliaria,,no,yes,104.0,,no,3.0, A estrenar,3.0
899000.0,40.427077738,-3.670782979,1674083160.0,Apartamento,2,2,2,2,2,2,2,2,inmobiliaria,,no,no,96.0,,no,2.0, A estrenar,3.0
500000.0,40.427117,-3.672413,1672960140.0,Apartamento,2,2,2,2,2,2,2,2,inmobiliaria,50.0,no,no,85.0,,no,2.0,,1.0
350000.0,40.4238153,-3.6783486,1672960200.0,Apartamento,2,2,2,2,2,2,2,2,inmobiliaria,,no,yes,55.0,38.0,no,1.0,,1.0
640000.0,40.4231428,-3.6730488,1672787400.0,Apartamento,0,0,0,0,0,0,0,0,inmobiliaria,,no,no,87.0,,no,3.0,,2.0
775000.0,40.4233849,-3.6734802,1672787400.0,Apartamento,0,0,0,0,0,0,0,0,inmobiliaria,,no,yes,87.0,,no,2.0,,2.0
810000.0,40.4243194,-3.6774126,1672873800.0,Apartamento,0,0,0,0,0,0,0,0,inmobiliaria,,no,yes,74.0,,no,2.0,,2.0
130000.0,40.7854582,-3.7017473,1672614600.0,Apartamento,2,2,2,2,2,2,2,2,inmobiliaria,,yes,no,70.0,,no,2.0, En buen estado,1.0
698000.0,40.43746745716,-3.6685633592981,1673824080.0,Apartamento,1,1,1,1,1,1,1,1,inmobiliaria,0.0,yes,yes,94.0,,yes,2.0,,2.0
425000.0,40.4324129,-3.6674945,1674601740.0,Apartamento,0,0,0,0,0,0,0,0,inmobiliaria,50.0,no,yes,78.0,,yes,3.0,,1.0
429000.0,40.4339998,-3.6682245,1672960200.0,Apartamento,0,0,0,0,0,0,0,0,inmobiliaria,,yes,yes,53.0,,yes,1.0, A estrenar,1.0
360000.0,40.4650097,-3.6488505,1674688140.0,Apartamento,2,2,2,2,2,2,2,2,inmobiliaria,10.0,yes,yes,71.0,,yes,2.0,,1.0
