price,title,location,lat,lng,characteristics
150.000 €,Piso en venta en Calle de los Girasoles,Calle de los Girasoles. Elviña-Barrio Flores-Matogrande-Someso (A Coruña Capital),43.344721594,-8.404429443,"['Superficie construida : 103 m²', 'Habitaciones : 3', 'Baños : 2', 'Referencia : IF76664-PV-23006', 'Armarios empotrados : 1', 'Tipo suelo : Parquet', 'Calefacción : Central', 'Cocina', 'Lavadero', 'Puerta blindada', 'Ascensor', 'Orientación : Sur', 'Clasificación:  En trámite', 'Pedir más información']"
300.000 €,Casa unifamiliar en venta en Lugar de la Torre,Lugar de la Torre. Abegondo,43.225702036,-8.288809996,"['Superficie construida : 199 m²', 'Superficie útil : 199 m²', 'Superficie solar : 3.928 m²', 'Habitaciones : 3', 'Baños : 2', 'Tipo de casa : Unifamiliar', 'Antigüedad : Entre 10 y 20 años', 'Conservación : En buen estado', 'Referencia : 4992837-VCA-ABEG', 'Armarios empotrados : 2', 'Carpintería exterior : PVC', 'Vidrios dobles', 'Tipo suelo : Gres', 'Teléfono', 'Calefacción : Gasoil', 'Chimenea', 'Cocina equipada', 'Comedor', 'Garaje : 2', 'Jardín : Propio', 'Orientación : Este', 'Urbanizado', 'Calle alumbrada', 'Calle asfaltada', 'Se aceptan mascotas', 'Clasificación:  En trámite', 'Pedir más información']"
56.000 €,Casa en venta en Mabegondo,Abegondo,43.249010868,-8.274656859,"['Superficie construida : 56 m²', 'Habitaciones : 2', 'Superficie solar : 320 m²', 'Baños : 1', 'Referencia : XA519-918', 'Clasificación:  Exento', 'Pedir más información']"
145.255 €,Piso en venta en Calle de la Gaivoteira,Calle de la Gaivoteira. Liáns-Porto de Santa Cruz (Oleiros),43.3438583941983,-8.34245927104516,"['Superficie construida : 86 m²', 'Habitaciones : 3', 'Baños : 1', 'Referencia : AS1-52442211', 'Portero automático', 'Ascensor', 'Clasificación:  En trámite', 'Pedir más información']"
560.000 €,"Chalet en venta en Carretera de San Cidre, 72","Carretera de San Cidre, 72. Bergondo (Carrio) (Bergondo)",43.3269,-8.23456,"['Superficie construida : 324 m²', 'Superficie útil : 308 m²', 'Superficie solar : 1.773 m²', 'Habitaciones : 4', 'Baños : 4', 'Conservación : En buen estado', 'Referencia : SA4797-101166610', 'Armarios empotrados : 1', 'Garaje : 1', 'Trastero', 'Terraza', 'Piscina', 'Orientación : Oeste', 'Clasificación:  No indicado', 'Pedir más información']"
170.000 €,Piso en venta en Calle de la Estrella,Calle de la Estrella. Cidade Vella-Atochas-Pescadería (A Coruña Capital),43.3682226,-8.4037198,"['Superficie construida : 60 m²', 'Superficie útil : 50 m²', 'Habitaciones : 1', 'Baños : 1', 'Planta : 4ª', 'Exterior', 'Antigüedad : Entre 20 y 30 años', 'Conservación : En buen estado', 'Referencia : 4994847-13465866', 'Armarios empotrados : 2', 'Tipo suelo : Parquet', 'Calefacción : Eléctrica', 'Cocina equipada', 'Ascensor', 'Clasificación:  Disponible', 'Emisiones:  19 Kg CO2/m2 año  A B C D E F G']"
760.000 €,Piso en venta en Ensanche,Ensanche (A Coruña Capital),43.3634583,-8.405516,"['Superficie construida : 210 m²', 'Superficie útil : 187 m²', 'Habitaciones : 3', 'Baños : 4', 'Exterior', 'Referencia : AG498-PIS0029', 'Armarios empotrados', 'Tipo suelo : Madera', 'Calefacción : Central', 'Cocina : Individual', 'Garaje', 'Trastero', 'Ascensor', 'Orientación : Este', 'Clasificación:  Disponible', 'Emisiones:  28 Kg CO2/m2 año  A B C D E F G']"
69.000 €,Casa en venta en Culleredo-Sesamo-Sueiro,Culleredo,43.31064773,-8.382370512,"['Superficie construida : 51 m²', 'Habitaciones : 2', 'Superficie solar : 400 m²', 'Baños : 1', 'Antigüedad : Más de 50 años', 'Referencia : XA27-02392', 'Clasificación:  Exento', 'Pedir más información']"
419.000 €,Casa en venta en Culleredo/ Tercera Ronda,Culleredo,43.322805992,-8.383568262,"['Superficie construida : 302 m²', 'Habitaciones : 6', 'Superficie solar : 1.258 m²', 'Baños : 3', 'Antigüedad : Entre 20 y 30 años', 'Referencia : XA27-02068', 'Clasificación:  Disponible', 'Emisiones:  51 Kg CO2/m2 año  A B C D E F G']"
105.000 €,Piso en venta en Rúa Pigara,Rúa Pigara. Cambre (Santa Maria) (Cambre),43.3203299,-8.3564305,"['Superficie construida : 116 m²', 'Superficie útil : 105 m²', 'Habitaciones : 2', 'Baños : 4', 'Planta : Bajo', 'Referencia : SA1112-5289D/5394', 'Clasificación:  No indicado', 'Pedir más información']"
